Author,Degree,Betweenness,Closeness,Coreness,Eigenvector
SecchiE,59,10404.48386,9.05E-06,0.60408951,16
BordinoP,28,710.8318067,9.04E-06,0.336121379,14
DanilewiczD,27,612.9919523,9.04E-06,0.309786734,14
KinasP,17,1577.120599,9.03E-06,0.222416028,12
OttP,63,9639.525826,9.06E-06,0.881650601,23
CrespoE,55,5552.355667,9.05E-06,0.746498482,23
AriasA,8,6.479195271,9.03E-06,0.077585992,7
RodríguezD,39,9289.654162,9.03E-06,0.173629727,14
GerpeM,4,0,9.00E-06,0.020757574,4
LailsonBritoJ,43,1939.072166,9.04E-06,0.470443003,15
MarigoJ,39,2219.038608,9.04E-06,0.375357705,15
RamosR,41,3308.072088,9.04E-06,0.43000705,14
HigaA,2,0,8.96E-06,0.00039629,2
BertozziC,23,192.8124269,9.04E-06,0.321038238,13
RosasF,29,8825.305767,9.03E-06,0.192840981,14
SantosM,76,11166.59907,9.06E-06,0.874275083,17
WeiskelH,8,6.479195271,9.03E-06,0.077585992,7
AzevedoA,35,1396.504993,9.05E-06,0.526569053,17
MignucciGiannoniA,5,1048,9.02E-06,0.028746796,3
LeBasA,4,525,9.00E-06,0.015032762,3
MoreteM,10,9,8.99E-06,0.005696863,7
GarcíaC,2,525,9.01E-06,0.012514625,1
MorenoI,68,8972.69982,9.06E-06,0.889788093,23
HasselL,5,0,9.02E-06,0.045035079,5
MagalhãesF,20,219.3558092,9.03E-06,0.200408459,15
NettoR,1,0,8.99E-06,0.006405812,1
DiBenedittoA,44,1638.508016,9.05E-06,0.696637996,23
IñíguezM,26,6250.388128,9.04E-06,0.216781269,12
FaillaSiquierG,1,0,8.96E-06,0.000505388,1
CrespiAbrilA,3,0,9.01E-06,0.027041988,3
GurjãoL,5,1048,8.97E-06,0.000692422,3
DrehmerC,3,166.2408595,9.00E-06,0.012059942,2
MolinaSchillerD,3,23,2.20E-06,1.95E-17,2
FélixF,39,3765.541301,9.05E-06,0.584159775,23
FloresP,50,4254.235773,9.06E-06,0.756265648,23
ParenteC,2,0,8.98E-06,0.001880575,2
AuriolesGamboaD,4,1048,8.80E-06,8.76E-11,2
MeirellesA,56,16136.51986,9.06E-06,0.56595187,17
SantillánL,4,0,9.00E-06,0.012214541,4
ZapataRíosG,4,0,9.00E-06,0.006876078,4
SzterenD,2,0,2.13E-06,1.42E-17,2
PalaciosD,24,2911.770774,9.04E-06,0.186105854,10
MartinsA,3,0,8.97E-06,0.000690798,3
SimõesLopesP,47,5789.916339,9.05E-06,0.562057315,17
FertlD,10,18680,9.03E-06,0.03314301,4
PintoR,3,0,9.02E-06,0.036042537,3
GarcíaGodosI,4,0,9.01E-06,0.047353787,4
BravoE,3,0,8.76E-06,3.16E-12,3
OliveiraL,33,6504.463844,9.04E-06,0.326677835,17
GrochK,18,228.9899847,9.02E-06,0.080407145,14
AcevedoGutiérrezA,4,0,8.80E-06,7.83E-11,4
LimaD,13,734.1059558,9.02E-06,0.027642179,5
