Author,Degree,Betweenness,Closeness,Eigenvector,Coreness
AbarcaP,11,0,0.006159005,0.008795676,11
AbudC,6,0,0.006168129,0.016835114,6
AcevedoGutiérrezA,4,0,0.006024942,7.82E-11,4
AdlerF,4,0,0.006174781,0.030156124,4
AlarcónD,21,0.013291405,0.00618373,0.163303149,15
AlavaJ,3,1.27E-05,0.001459854,0,1
AlbaredaD,5,0,0.001505925,0,5
AlcortaB,2,0,0.001461982,0,2
AlfaroShiguetoJ,4,0,0.006173061,0.047333194,4
AliagaRosselE,10,0.002236453,0.006182784,0.072261534,9
AlieviM,3,0,0.006163148,0.011770186,3
AlonsoM,19,0.000339385,0.006186625,0.204911257,15
AltieriB,2,0,0.006174226,0.019680264,2
AlvarengaF,14,4.43E-05,0.006185456,0.203552332,12
AlvesM,3,0,0.001459854,0,3
AlvesT,3,0,0.006146056,0.000690398,3
AlvesV,3,0,0.006178502,0.036036999,3
AlzugarayL,5,0,0.006154756,0.003494959,5
AndradeA,5,0,0.006164365,0.026314654,5
AndrioloA,3,0,0.006177058,0.034419421,3
AntúnezE,5,0,0.00147491,0,5
ApazaM,4,0,0.006163204,0.012210206,4
ArandaMenaO,3,0,0.001464123,0,3
AraújoD,2,0,0.006117488,2.41E-05,2
AravenaP,11,0,0.006159005,0.008795676,11
AriasA,8,2.75E-05,0.006182283,0.077583125,7
AriasSchreiberM,4,0,0.006173061,0.047333194,4
ArimM,2,0,0.001457726,0,2
AttademoFLN,14,0,0.006176836,0.052822692,14
AuriolesGamboaD,4,0.004464418,0.006025787,8.75E-11,2
AvilaI,26,0.006683896,0.006193876,0.492856369,23
ÁvilaJM,5,0,0.006175947,0.021173224,5
AyalaG,3,0,0.001459854,0,3
AzeredoM,5,0,0.006173339,0.05755874,5
AzevedoA,35,0.005926409,0.006200809,0.526444872,17
BacharaW,9,0.006938903,0.006179336,0.065221804,3
BaconCE,1,0,0.001455604,0,1
BakerA,9,0,0.00618462,0.10581945,9
BakerC,11,0,0.006182839,0.116503248,11
BaldassinP,5,0,0.001464129,0,5
BarachoC,17,0,0.006191197,0.290218579,17
BarbosaC,5,0,0.001464129,0,5
BarbosaL,13,0.002236453,0.0061854,0.190506139,12
BarbosaT,3,0,0.001459854,0,3
BarcellosJ,2,0,0.006159446,0.006711102,2
BarcellosL,3,0,0.00617678,0.041083392,3
BarnicoatS,14,0,0.006151504,0.006110121,14
BarragánBarreraDC,8,0,0.006178224,0.033681078,8
BarreraA,2,0,0.001457726,0,2
BarretoAS,22,0.002816804,0.006191476,0.295633914,17
BarriosGarridoH,23,0.002287035,0.006196111,0.336296743,17
BarrosN,4,0,0.006155197,0.001238569,4
BassoiM,15,0.000236349,0.006186235,0.159124659,14
BastidaR,43,0.02025608,0.006194994,0.402370392,14
BazzaloM,42,0.013661875,0.006200529,0.535928474,17
