Issue,Period,Citations
1(1),Period (2002-2011),729
2(1),Period (2002-2011),170
2(2),Period (2002-2011),302
3(1),Period (2002-2011),370
3(2),Period (2002-2011),203
4(1),Period (2002-2011),315
4(2),Period (2002-2011),213
5(1),Period (2002-2011),190
5(2),Period (2002-2011),116
6(1),Period (2002-2011),487
6(2),Period (2002-2011),146
7(1-2),Period (2002-2011),233
8(1-2),Period (2002-2011),345
9(1),Period (2002-2011),6
9(2),Period (2002-2011),91
10(1),Period (2015-2022),89
10(2),Period (2015-2022),73
11(1-2),Period (2015-2022),216
12(1-2),Period (2015-2022),35
13(1-2),Period (2015-2022),15
14(1),Period (2015-2022),15
15(1),Period (2015-2022),12
16(1),Period (2015-2022),5
17(1),Period (2015-2022),0
