Issue,Period,ART,COM,EDI,INT,NOT,OPI,PRO,REV,SHO,WKS
1(1),Period (2002-2010),13,0,1,1,1,0,0,0,0,8
2(1),Period (2002-2010),6,0,0,0,0,0,0,0,3,0
2(2),Period (2002-2010),6,0,0,0,0,0,0,0,4,0
3(1),Period (2002-2010),7,0,0,0,0,0,0,0,4,0
3(2),Period (2002-2010),6,0,0,0,0,0,0,0,4,0
4(1),Period (2002-2010),7,0,0,0,0,0,0,0,2,0
4(2),Period (2002-2010),7,0,0,0,0,0,0,0,6,0
5(1),Period (2002-2010),6,2,0,0,0,0,0,0,5,0
5(2),Period (2002-2010),4,0,0,0,0,0,0,0,4,0
6(1),Period (2002-2010),4,0,0,0,0,0,0,2,4,0
6(2),Period (2002-2010),5,0,0,0,5,0,0,0,0,0
7(1-2),Period (2002-2010),5,0,1,0,10,0,0,0,3,0
8(1-2),Period (2002-2010),10,0,1,0,5,0,0,1,0,4
9(1),Period (2011-2022),1,0,1,0,0,0,0,0,0,0
9(2),Period (2011-2022),2,0,1,0,4,0,0,2,6,0
10(1),Period (2011-2022),2,0,1,0,5,0,0,0,2,0
10(2),Period (2011-2022),5,0,1,0,6,0,0,1,0,0
11(1-2),Period (2011-2022),0,0,1,0,2,0,0,0,0,17
12(1-2),Period (2011-2022),2,0,1,0,2,0,0,1,3,0
13(1-2),Period (2011-2022),0,0,1,0,5,0,0,0,0,0
14(1),Period (2011-2022),1,0,1,0,4,0,0,0,0,0
15(1),Period (2011-2022),0,0,1,0,3,0,0,0,6,0
16(1),Period (2011-2022),4,0,1,0,3,1,1,0,0,0
17(1),Period (2011-2022),5,0,1,0,4,0,0,0,0,0
