Species,FREQ
Tursiops truncatus,47
Pontoporia blainvillei,38
Sotalia guianensis,32
Sotalia fluviatilis,24
Pteronura brasiliensis,18
Megaptera novaeangliae,16
Orcinus orca,13
Arctocephalus Aaustralis,11
Physeter macrocephalus,10
Stenella attenuata,10
Globicephala macrorhynchus,9
Pseudorca crassidens,9
Stenella frontalis,9
Steno bredanensis,9
Mirounga leonina,8
Otaria byronia,8
Balaenoptera edeni,7
Kogia sima,7
Trichechus manatus,7
Delphinus delphis,6
Ziphius cavirostris,6
Balaenoptera acutorostrata,5
Delphinus capensis,5
Lagenodelphis hosei,5
Phocoena spinipinnis,5
Stenella longirostris,5
Balaenoptera borealis,4
Balaenoptera musculus,4
Eubalaena Eaustralis,4
Feresa attenuata,4
Grampus griseus,4
Inia geoffrensis,4
Kogia breviceps,4
Stenella coeruleoalba,4
Trichechus inunguis,4
Balaenoptera physalus,3
Cephalorhynchus commersonii,3
Lagenorhynchus obscurus,3
Lontra longicaudis,3
Otaria flavescens,3
Peponocephala electra,3
Balaenoptera bonaerensis,2
Eubalaena australis,2
Globicephala melas,2
Hydrurga leptonyx,2
Lagenorhynchus Laustralis,2
Lagenorhynchus obliquidens,2
Mesoplodon bowdoini,2
Mesoplodon densirostris,2
Mesoplodon hectori,2
Mesoplodon peruvianus,2
Mirounga angustirostris,2
Stenella clymene,2
Trichechus manatus manatus,2
Zalophus californianus,2
Arctocephalus galapagoensis,1
Arctocephalus tropicalis,1
Balaenoptera sp.,1
Balaenopterid,1
Berardius arnuxii,1
Berardius bairdii,1
Callorhinus ursinus,1
Cephalorhynchus  eutropia,1
Cephalorhynchus eutropia,1
Cephalorhynchus hectori,1
Dolphin sp.,1
Eschrichtius robustus,1
Hyperoodon planifrons,1
Inia boliviensis,1
Lagenorhynchus albirostris,1
Lipotes vexillifer,1
Lobodon carcinophaga,1
Mesoplodon europaeus ,1
Mesoplodon ginkgodens,1
Mesoplodon grayi,1
Mesoplodon layardii,1
Mesoplodon mirus,1
Neophocaena phocaenoides,1
Orcaella brevirostris,1
Phoca vitulina,1
Phocoena phocoena,1
Phocoena sinus,1
Physeter catodon,1
Platanista gangetica,1
Scomber japonicus,1
Sei/Brydes whale,1
Small Blackfish sp.,1
Sotalia guianensis,1
Sousa chinensis,1
Stenella sp.,1
Tasmacetus shepherdi,1
Tursiops,1
Whale sp.,1
