WORD,FREQ
dolphin,308
whale,231
species,210
brazil,158
group,137
coast,134
area,125
study,121
population,113
record,104
use,98
size,92
cetacean,91
water,89
distribution,89
sotalia,82
female,79
bottlenose,78
franciscana,78
individual,75
year,75
river,74
survey,70
male,69
fishery,69
found,69
truncatus,67
atlantic,66
strand,66
estimate,65
data,64
state,63
observe,62
total,62
age,60
guianensis,59
report,59
tursiops,57
marine,57
region,57
conservation,55
manatee,55
small,55
pattern,54
present,54
rio,54
blainvillei,54
abundance,53
base,53
feed,52
sea,52
difference,52
pontoporia,52
tucuxi,52
coastal,55
otter,51
sample,51
sighting,50
guiana,49
number,48
animal,48
suggest,46
habitat,46
activity,46
common,44
effort,44
show,44
occurrence,43
season,43
within,43
range,43
result,43
conduct,40
strandings,40
argentina,39
identify,38
analysis,38
prey,38
variation,38
australis,38
information,37
increase,37
fishing,37
boat,37
different,36
occur,36
calf,36
behavior,36
specimen,36
humpback,36
fluviatilis,36
pacific,37
three,35
amazon,35
identification,35
beak,34
ocean,34
body,34
mortality,34
large,34
period,33
diet,33
consider,33
catch,33
sperm,32
status,32
bay,32
time,32
skull,32
length,32
level,32
method,32
significant,32
seal,32
however,31
seasonal,31
franciscanas,31
adult,30
lion,30
analyze,30
interaction,30
know,30
work,30
fish,29
determine,29
movement,29
among,29
mammal,29
presence,29
estuary,28
island,28
important,28
mean,28
could,28
rate,28
growth,28
american,27
technique,27
uruguay,27
day,27
sexual,27
brasiliensis,26
research,26
cause,26
peru,25
manatus,25
collect,25
sex,25
brazilian,25
janeiro,25
teeth,25
arctocephalus,25
case,24
caribbean,24
california,24
killer,23
winter,23
evidence,23
mexico,24
ecology,23
local,23
mainly,23
paulo,23
breeding,23
net,23
gillnet,23
stenella,22
sp,22
relative,22
observation,22
pteronura,22
impact,22
management,22
photo,22
parasite,22
western,22
artisanal,22
need,21
gulf,21
food,21
america,21
bycatch,21
shape,21
tucuxis,21
ecuador,20
throughout,20
change,20
human,20
stock,20
similar,20
current,20
follow,20
watch,20
caught,20
mass,20
incidental,19
southeast,19
near,19
since,19
lake,19
indicate,19
related,19
significantly,19
fur,19
pinniped,19
new,18
month,18
see,18
otaria,18
capture,18
term,18
july,18
average,18
model,18
site,18
frequency,18
dimorphism,18
geographic,18
document,17
balaenoptera,17
attenuata,17
community,17
monitoring,17
order,17
southwest,17
trichechus,17
detect,17
reproductive,17
consume,17
potential,17
evaluate,17
mark,17
provide,17
hour,17
sight,17
megaptera,17
system,17
class,17
canine,17
encounter,16
represent,16
orca,16
associate,16
accord,16
fisherman,16
bone,16
development,16
compare,16
distance,16
uruguayan,16
main,16
event,16
stomach,16
maturity,16
structure,16
composition,16
condition,16
right,16
novaeangliae,16
vessel,15
paper,15
colour,15
chile,15
national,15
possible,15
latrine,15
least,15
influence,15
eastern,15
social,15
metal,15
shark,15
author,14
orcinus,14
surface,14
dead,14
flavescens,14
last,14
far,14
november,14
density,14
several,14
sd,14
measurement,14
estimation,14
environmental,14
trend,14
cetacea,14
tourism,14
approximately,14
shore,14
s?£o,14
central,14
layer,14
depth,14
concentration,14
urea,14
santa,14
mesoplodon,14
french,13
spot,13
opportunistic,13
august,13
summer,13
described,13
diversity,13
index,13
recommend,13
type,13
knowledge,13
take,13
confirm,13
variable,13
parameter,13
non,13
colombia,13
value,13
february,13
test,13
improve,13
content,13
available,13
reproduction,13
biological,13
proportion,13
offshore,12
september,12
location,12
factor,12
protect,12
make,12
corpus,12
allow,12
peak,12
environment,12
reserve,12
examine,12
previous,12
january,12
archipelago,12
around,12
genetic,12
dna,12
habit,12
beach,12
publish,12
reveal,12
assessment,12
inia,12
disease,12
ground,12
round,12
set,12
juvenile,12
old,12
southwestern,12
gillnets,12
glgs,12
december,11
relatively,11
overall,11
travel,11
province,11
review,11
endanger,11
list,11
reach,11
threat,11
traffic,11
great,11
hypothesis,11
family,11
disturbance,11
effective,11
delphinidae,11
unit,11
abrolhos,11
anomaly,11
release,11
minke,11
dwarf,11
venezuela,11
frequent,11
pair,11
ra,11
collision,11
estuarine,11
strategy,11
incidentally,11
measure,11
sao,11
overlap,11
ontogeny,11
carry,10
march,10
fin,10
prevalence,10
odontocete,10
note,10
peruvian,10
pygmy,10
anthropogenic,10
many,10
channel,10
literature,10
weight,10
action,10
reduce,10
biology,10
biopsy,10
intensity,10
recapture,10
plata,10
zone,10
land,10
ratio,10
concern,10
autumn,10
relationship,10
remain,10
ship,10
galápagos,10
antillean,10
process,10
acoustic,10
tourist,10
stage,10
description,10
determination,10
suriname,9
bryde,9
delphinus,9
fraser,9
pantropical,9
short,9
subject,9
west,9
direct,9
interview,9
importance,9
classify,9
basin,9
monitor,9
linear,9
cub,9
birth,9
varied,9
category,9
behavioral,9
attempt,9
single,9
therefore,9
mouth,9
suggests,9
bahia,9
distribute,9
frequently,9
character,9
correlation,9
mirounga,9
assess,9
strike,9
port,9
perform,9
spatial,9
collection,9
occurs,9
major,9
seasonality,9
possibly,9
morphology,9
variability,9
morphometrics,9
gear,9
urine,9
byronia,9
hemisphere,9
cervical,9
country,8
tropical,8
consistent,8
characteristic,8
skin,8
likely,8
inhabit,8
part,8
remains,8
conflict,8
towards,8
threaten,8
pantanal,8
every,8
aquatic,8
captive,8
effect,8
less,8
line,8
decline,8
natural,8
maximum,8
evolutionary,8
aire,8
oceanographic,8
april,8
geographical,8
elephant,8
leonina,8
eubalaena,8
monthly,8
availability,8
rare,8
comparison,8
samiria,8
entanglement,8
predation,8
squid,8
inthe,8
spring,8
propose,8
home,8
sound,8
selection,8
blue,8
catarina,8
ambergris,8
cuba,8
adjacent,7
physeter,7
lagenodelphis,7
hosei,7
october,7
general,7
best,7
freshwater,7
free,7
carcass,7
inshore,7
patagonian,7
pressure,7
form,7
heavy,7
field,7
investigate,7
park,7
describe,7
dry,7
orinoco,7
apparent,7
strong,7
program,7
approach,7
oceanic,7
resource,7
open,7
fidelity,7
residence,7
combine,7
future,7
bank,7
physical,7
dentine,7
mature,7
buenos,7
distinct,7
help,7
aspect,7
puerto,7
life,7
young,7
ecological,7
objective,7
colombian,7
fast,7
gray,7
pacaya,7
campaign,7
mother,7
trip,7
support,7
temperature,7
health,7
especially,7
locate,7
upwelling,7
crustacean,7
guatucupa,7
liver,7
paran,7
cranial,7
existence,7
fleet,7
alive,7
cpue,7
lack,7
annual,7
divide,7
position,7
cementum,7
ovulation,7
interval,7
limit,7
dental,7
second,7
regulation,7
californianus,7
bowdoini,7
spinipinnis,7
rectum,7
cuban,7
little,6
macrocephalus,6
edeni,6
pseudorca,6
crassidens,6
toothed,6
macrorhynchus,6
understand,6
affected,6
cover,6
injury,6
probably,6
cavirostris,6
panama,6
target,6
finding,6
evaluation,6
count,6
photographic,6
currently,6
iucn,6
exist,6
almost,6
despite,6
still,6
begin,6
characterize,6
protection,6
avoid,6
sustainable,6
reliable,6
wild,6
response,6
scientific,6
cost,6
select,6
often,6
responsible,6
apply,6
spspa,6
minimum,6
forage,6
insight,6
section,6
ass,6
decrease,6
whereas,6
explain,6
post,6
june,6
width,6
visit,6
kogia,6
pregnant,6
honduras,6
live,6
geoffrensis,6
economic,6
scarce,6
association,6
temporal,6
aerial,6
calve,6
contribute,6
latin,6
preference,6
confluence,6
wide,6
shallow,6
belonging,6
guadeloupe,6
martinique,6
mg,6
article,6
station,6
analyse,6
mercury,6
fe,6
immature,6
ontogenetic,6
metric,6
geometric,6
mesh,6
flow,6
core,6
ovary,6
history,6
external,6
late,6
function,6
gervais,6
without,6
porpoise,6
complex,6
hammerhead,6
riverine,6
disparity,6
trajectory,6
mitochondrial,6
mhc,6
head,5
rough,5
pilot,5
unknown,5
cutaneous,5
pad,5
eal,5
canan?©ia,5
salinity,5
series,5
scar,5
infection,5
die,5
potentially,5
nearshore,5
systematic,5
successful,5
negative,5
affect,5
end,5
decade,5
regard,5
people,5
upper,5
madidi,5
across,5
much,5
video,5
together,5
limited,5
balbina,5
produce,5
gather,5
inside,5
way,5
additional,5
intense,5
kill,5
preliminary,5
premaxillary,5
highly,5
useful,5
contain,5
majority,5
education,5
wound,5
patos,5
lagoon,5
require,5
transect,5
design,5
would,5
promote,5
residency,5
resident,5
reflect,5
control,5
account,5
max,5
search,5
update,5
twenty,5
mostly,5
worldwide,5
poorly,5
apparatus,5
vertebral,5
global,5
absence,5
amazonian,5
addition,5
place,5
delphi,5
recent,5
eat,5
role,5
feces,5
clymene,5
city,5
visual,5
daylight,5
antarctic,5
sst,5
antofagasta,5
nursing,5
behaviour,5
psd,5
concentrate,5
trophic,5
malformation,5
cephalopod,5
cynoscion,5
tissue,5
trace,5
pontoporiablainvillei,5
tool,5
exhibit,5
morphometric,5
santo,5
axis,5
differentiation,5
seine,5
argentine,5
criterion,5
calculate,5
lactate,5
early,5
minute,5
comprise,5
delphini,5
cabo,5
mm,5
commerson,5
angelina,5
move,5
cyst,5
consumption,5
otariidae,5
extra,5
lead,5
clear,5
specific,5
become,5
pelvic,5
baja,5
historical,5
africa,5
training,5
developed,5
skeletal,5
burmeister,5
phocoena,5
contribution,5
material,5
predatory,5
floodplain,5
vertebra,5
aggregation,5
baird,5
tropicalis,5
ursinus,5
cochleotrema,5
dqb,5
seismic,4
melon,4
peponocephala,4
electra,4
transit,4
globicephala,4
grow,4
critical,4
odontocetes,4
continuous,4
lesion,4
heal,4
pathogen,4
cephalorhynchus,4
eutropia,4
