BIGRAM,FREC
bottlenose dolphin,75
tursiops truncatus,54
pontoporia blainvillei,51
sotalia guianensis,45
giant otter,44
southern brazil,39
dolphin tursiops,38
guiana dolphin,36
group size,35
sperm whale,30
sea lion,30
humpback whale,30
sotalia fluviatilis,29
rio de,27
small cetacean,27
atlantic ocean,26
beak whale,26
dolphin sotalia,25
de janeiro,25
rio grande,24
killer whale,23
south american,23
river dolphin,23
common bottlenose,22
pteronura brasiliensis,22
franciscana pontoporia,22
male female,21
marine mammal,20
arctocephalus australis,20
otter pteronura,19
fur seal,19
whale watch,19
report work,18
grande sul,18
photo identification,17
south america,17
southeastern brazil,17
southwest atlantic,16
manatee trichechus,16
work group,16
megaptera novaeangliae,16
sexual dimorphism,16
whale balaenoptera,15
trichechus manatus,15
south atlantic,15
tucuxi sotalia,15
cetacean specie,14
dolphin stenella,14
southeast pacific,14
northeastern brazil,14
significant difference,14
whale megaptera,14
franciscana dolphin,14
artisanal fishery,14
orcinus orca,13
amazon river,13
coast rio,13
habitat use,13
right whale,13
marine tucuxi,13
french guiana,12
spot dolphin,12
relative abundance,12
long term,12
janeiro state,12
state brazil,12
gulf california,12
western south,12
paulo state,12
conservation status,11
population size,11
study area,11
growth layer,11
dolphin pontoporia,11
gillnet fishery,11
stenella attenuata,10
american sea,10
otaria flavescens,10
whale orcinus,10
first record,10
mark recapture,10
coastal water,10
encounter rate,10
coast brazil,10
antillean manatee,10
minke whale,10
year round,10
sao paulo,10
seal arctocephalus,10
body mass,10
pantropical spot,9
dolphin specie,9
protect area,9
movement pattern,9
body length,9
stomach content,9
manatus manatus,9
southern right,9
american fur,9
boat base,9
tucuxi dolphin,9
red list,9
age class,9
northern rio,9
geographic variation,9
incidental mortality,9
incidentally caught,9
bryde whale,8
la plata,8
brazilian coast,8
along coast,8
dolphin inia,8
elephant seal,8
mirounga leonina,8
seasonal difference,8
dwarf minke,8
colour pattern,8
santa catarina,8
female sperm,8
lagenodelphis hosei,7
truncatus southwest,7
abundance estimate,7
survey conduct,7
cetacea delphinidae,7
atlantic coast,7
site fidelity,7
sao paulo,7
per unit,7
unit effort,7
northern coast,7
feed habit,7
prey specie,7
buenos aire,7
aire province,7
galápagos island,7
southern elephant,7
whale eubalaena,7
eubalaena australis,7
pacaya samiria,7
breeding season,7
significantly high,7
size shape,7
fishing effort,7
sexual maturity,7
canine teeth,7
home range,7
boat traffic,7
age determination,7
whale mesoplodon,7
cervical rib,7
whale physeter,6
physeter macrocephalus,6
balaenoptera edeni,6
fraser dolphin,6
dolphin lagenodelphis,6
lion otaria,6
fish specie,6
biopsy sample,6
previous study,6
approximately km,6
sighting per,6
abrolhos bank,6
strand event,6
show significant,6
layer group,6
seal mirounga,6
inia geoffrensis,6
whale observe,6
shallow water,6
base survey,6
heavy metal,6
southwestern atlantic,6
geometric morphometrics,6
mesh size,6
core area,6
total length,6
marine tucuxis,6
bahía norte,6
year age,6
california sea,6
whale southeast,6
blue whale,6
plata river,6
rough toothed,5
toothed dolphin,5
beak common,5
common dolphin,5
survey area,5
specie record,5
coastal bottlenose,5
pygmy killer,5
local people,5
national park,5
number individual,5
dry season,5
premaxillary bone,5
case study,5
line transect,5
detect trend,5
size estimate,5
study period,5
coastal population,5
brazilian water,5
group group,5
difference found,5
strand animal,5
cm male,5
cm female,5
fishery interaction,5
north coast,5
physical maturity,5
age estimate,5
difference among,5
population structure,5
size composition,5
colombian caribbean,5
ship strike,5
whale kogia,5
pygmy sperm,5
samiria national,5
national reserve,5
dolphin presence,5
human activity,5
mother calf,5
pacific coast,5
caribbean sea,5
iucn red,5
oceanographic condition,5
cynoscion guatucupa,5
trace metal,5
parasite found,5
total number,5
present study,5
metric character,5
catch per,5
winter ground,5
sul coast,5
fishery catch,5
la angelina,5
otaria byronia,5
southern hemisphere,5
baja california,5
california mexico,5
adult male,5
burmeister porpoise,5
fluviatilis sotalia,5
pseudorca crassidens,4
melon head,4
head whale,4
whale peponocephala,4
peponocephala electra,4
long beak,4
dolphin delphinus,4
sighting record,4
short fin,4
globicephala macrorhynchus,4
free range,4
coast southern,4
pacific ocean,4
ziphius cavirostris,4
whale feresa,4
feresa attenuata,4
km river,4
pantanal wetland,4
distribution abundance,4
estimate abundance,4
specie found,4
sd individual,4
result indicate,4
within range,4
specie use,4
group sample,4
low level,4
dolphin group,4
study demonstrates,4
patos lagoon,4
dolphin population,4
coast uruguay,4
estuary southern,4
january february,4
effective population,4
along northeastern,4
northeastern patagonian,4
patagonian coast,4
land base,4
group observe,4
brazil total,4
total body,4
male cm,4
present work,4
autumn winter,4
brazil uruguay,4
northern argentina,4
amazonian manatee,4
delphinus delphi,4
strand record,4
include first,4
kogia sima,4
bay mexico,4
river mouth,4
specie distribution,4
specie identify,4
along distribution,4
calf pair,4
marine protect,4
north pacific,4
sea surface,4
surface temperature,4
whale breeding,4
aquatic mammal,4
feed behavior,4
dolphin km,4
aerial survey,4
dolphin occur,4
la niña,4
throughout year,4
tourism activity,4
coast south,4
metal concentration,4
franciscana pontoporiablainvillei,4
state southeastern,4
paran state,4
praia grande,4
female male,4
geographic area,4
blainvillei franciscana,4
least two,4
incidental catch,4
southern coast,4
caught fishery,4
state southern,4
creatinine urea,4
espirito santo,4
length weight,4
commerson dolphin,4
broadnose sevengill,4
sevengill shark,4
two specie,4
state northeastern,4
show high,4
australis male,4
surface activity,4
daylight movement,4
water depth,4
use pattern,4
travel feed,4
dentine cementum,4
age estimation,4
mass strandings,4
pelvic bone,4
zalophus californianus,4
eight year,4
balaenoptera musculus,4
whale sea,4
uruguayan coast,4
phocoena spinipinnis,4
estuarine dolphin,4
cuban water,4
use area,4
catarina state,4
mass strand,4
baird beak,4
group composition,4
subantarctic fur,4
ontogenetic trajectory,4
chetumal bay,4
cm area,4
survey hour,4
seismic survey,3
offshore water,3
occurrence cetacean,3
specie observe,3
false killer,3
whale pseudorca,3
dolphin steno,3
steno bredanensis,3
delphinus capensis,3
spinner dolphin,3
stenella longirostris,3
include common,3
fin pilot,3
pilot whale,3
cetacean community,3
relatively high,3
specie within,3
cetacean south,3
odontocete specie,3
one male,3
range individual,3
inshore truncatus,3
eutropia calf,3
data suggest,3
nearshore water,3
gulf guayaquil,3
peruvian amazon,3
province argentina,3
distribution relative,3
northwestern bolivia,3
paper present,3
direct observation,3
identify individual,3
classify endanger,3
july november,3
habitat type,3
estimate number,3
individual per,3
litter size,3
size reproductive,3
reproductive period,3
balbina hydroelectric,3
amazona brazil,3
low water,3
aim describe,3
report literature,3
different habitat,3
local fishery,3
amazon orinoco,3
orinoco basin,3
group distribution,3
biology ecology,3
environmental education,3
study evaluate,3
individual dolphin,3
lagoon estuary,3
sample size,3
photo identify,3
coastal dolphin,3
five year,3
year period,3
recapture model,3
individual ci,3
six year,3
small population,3
uruguayan atlantic,3
de la,3
provide first,3
value obtain,3
study conduct,3
dolphin sd,3
dolphin year,3
dolphin region,3
paulo archipelago,3
northeast coast,3
grande norte,3
sex ratio,3
conservation management,3
sample collect,3
significantly different,3
control region,3
rio negro,3
movement along,3
base observation,3
identification individual,3
total effort,3
identification effort,3
dolphin total,3
search food,3
strandings record,3
number report,3
statistically significant,3
calf observe,3
show evidence,3
truncatus montagu,3
strand pattern,3
best know,3
coastal distribution,3
aim present,3
northern region,3
mortality fishing,3
found dead,3
know cetacean,3
population specie,3
vertebral column,3
dolphin argentina,3
available data,3
offshore ecotype,3
present information,3
available information,3
research effort,3
population status,3
near shore,3
distribution marine,3
number sighting,3
first strand,3
eastern caribbean,3
cetacean sighting,3
food availability,3
breeding ground,3
banderas bay,3
dwarf sperm,3
stenella clymene,3
passive acoustic,3
acoustic monitoring,3
anthropogenic activity,3
survey effort,3
study aim,3
occur year,3
campaign conduct,3
effort conduct,3
watch activity,3
per hour,3
significant correlation,3
intra seasonal,3
analysis show,3
breeding area,3
northern chile,3
ground southern,3
fishing activity,3
humboldt current,3
latin america,3
high dolphin,3
dolphin density,3
management action,3
river basin,3
guianensis van,3
dolphin cv,3
agoa sanctuary,3
guadeloupe martinique,3
individual island,3
model estimate,3
individual study,3
abundance group,3
el niño,3
relationship amazon,3
social structure,3
frequently observe,3
paulo brazil,3
blainvillei argentina,3
bahia anegada,3
shore base,3
base station,3
feed ecology,3
franciscanas pontoporia,3
specie well,3
main prey,3
urophycis brasiliensis,3
incidental capture,3
coastal specie,3
fe cu,3
cu zn,3
zn mn,3
area group,3
year old,3
mean intensity,3
number parasite,3
area study,3
sul state,3
present paper,3
growth geographic,3
southeastern coast,3
length cranial,3
difference area,3
area e,3
linear measurement,3
along brazilian,3
fishing community,3
beach seine,3
seine net,3
fish family,3
mortality franciscanas,3
female cm,3
catch franciscana,3
coast paran,3
franciscanas incidentally,3
specie study,3
record franciscana,3
state coast,3
current status,3
management area,3
status specie,3
specie impact,3
last year,3
urine urea,3
abrolhos archipelago,3
mean group,3
rainy season,3
dolphin distribution,3
hosei fraser,3
distribution specie,3
specie consider,3
eastern coast,3
sul southern,3
corpus luteum,3
kg respectively,3
year ci,3
calve interval,3
life history,3
spring summer,3
phyllobothrium delphini,3
shape size,3
female one,3
time spent,3
also found,3
dental anomaly,3
post canine,3
extra teeth,3
dentes geminati,3
sex determination,3
norte southern,3
overall home,3
feed travel,3
travel travel,3
area within,3
fluviatilis tucuxi,3
fishery uruguay,3
sul brazil,3
confidence interval,3
strand manatee,3
strand alive,3
large number,3
number strand,3
peruvian coast,3
technique age,3
odontocete community,3
mesoplodon europaeus,3
whale strand,3
truncatus sotalia,3
coast state,3
orca occurrence,3
lion zalophus,3
difference size,3
costa rica,3
interspecific interaction,3
west africa,3
bow bulb,3
data collection,3
operant conditioning,3
