NoAuthors,PP
2,
1,
3,10
4,3
15,18
5,4
7,8
13,10
6,2
8,4
1,6
3,18
5,12
6,8
6,8
3,6
10,16
3,8
2,8
3,7
5,6
3,8
2,8
4,2
3,6
1,8
5,8
2,10
6,8
6,4
5,4
4,2
2,4
1,12
1,8
5,8
2,6
4,7
4,7
4,6
2,4
2,3
4,2
3,12
2,6
1,12
2,16
2,7
3,8
3,7
3,4
2,2
5,2
2,13
2,11
2,12
3,7
3,24
4,5
2,6
5,4
4,4
3,5
1,4
4,8
4,11
3,14
5,7
5,6
2,6
4,8
2,4
3,2
1,14
6,4
4,11
7,16
4,8
2,3
3,16
4,5
4,12
3,11
2,4
5,4
2,4
1,15
3,6
1,10
6,10
3,6
2,9
3,2
2,2
3,3
1,4
3,3
3,3
2,4
2,10
2,11
3,7
6,4
7,6
2,5
4,4
4,4
24,36
10,27
2,12
6,6
3,7
2,6
2,5
3,4
3,4
3,3
6,11
2,16
3,6
3,9
5,13
6,3
5,4
3,5
4,4
2,5
1,
7,12
4,10
3,6
4,8
6,6
4,4
6,6
3,5
3,5
3,5
2,4
8,3
3,3
1,3
2,3
1,2
1,1
4,2
7,15
6,5
12,8
7,7
16,10
4,12
11,11
12,15
4,6
1,8
3,6
4,5
6,8
2,6
13,13
3,15
4,4
10,8
18,3
3,4
5,4
5,2
