ID,lastNameInitial_Author1,Gender,InstType1,Country1
1,SecchiE,Male,University,Brazil
2,SecchiE,Male,University,Brazil
3,SecchiE,Male,University,Brazil
4,BordinoP,Male,NGO,Argentina
5,DanilewiczD,Male,NGO,Brazil
6,KinasP,Male,University,Brazil
7,SecchiE,Male,University,Brazil
8,OttP,Male,NGO,Brazil
9,CrespoE,Male,Government,Argentina
10,AriasA,Male,Government,Argentina
11,BordinoP,Male,NGO,Argentina
12,RodríguezD,Male,University,Argentina
13,GerpeM,Female,University,Argentina
14,LailsonBritoJ,Male,University,Brazil
15,MarigoJ,Female,NGO,Brazil
16,RodríguezD,Male,University,Argentina
17,RamosR,Female,Other,Brazil
18,HigaA,Female,University,Brazil
19,BertozziC,Female,University,Brazil
20,RosasF,Male,Government,Brazil
21,SantosM,Male,University,Brazil
22,WeiskelH,Female,NGO,USA
23,SecchiE,Male,University,Brazil
24,AzevedoA,Male,University,Brazil
25,MignucciGiannoniA,Male,University,PuertoRico
26,LeBasA,Male,University,Uruguay
27,MoreteM,Female,NGO,Brazil
28,GarcíaC,Female,Other,Colombia
29,MorenoI,Male,NGO,Brazil
30,HasselL,Male,Government,Brazil
31,RodríguezD,Male,University,Argentina
32,MagalhãesF,Female,Government,Brazil
33,NettoR,Male,NGO,Brazil
34,DanilewiczD,Male,NGO,Brazil
35,DiBenedittoA,Female,University,Brazil
36,IñíguezM,Male,NGO,Argentina
37,FaillaSiquierG,Female,University,Uruguay
38,CrespiAbrilA,Male,Government,Argentina
39,SecchiE,Male,University,Brazil
40,GurjãoL,Male,University,Brazil
41,DrehmerC,Male,University,Brazil
42,RosasF,Male,Government,Brazil
43,MorenoI,Male,NGO,Brazil
44,DrehmerC,Male,University,Brazil
45,MolinaSchillerD,Female,University,Brazil
46,FélixF,Male,NGO,Ecuador
47,FloresP,Male,Government,Brazil
48,GarcíaC,Female,Other,Colombia
49,SecchiE,Male,University,Brazil
50,ParenteC,Male,Other,Brazil
51,AuriolesGamboaD,Male,University,México
52,MeirellesA,Female,NGO,Brazil
53,SantillánL,Male,NGO,Perú
54,ZapataRíosG,Male,NGO,Ecuador
55,MolinaSchillerD,Female,University,Brazil
56,MolinaSchillerD,Female,University,Brazil
57,SzterenD,Female,University,Uruguay
58,PalaciosD,Male,University,USA
59,MartinsA,Female,NGO,Brazil
60,SimõesLopesP,Male,University,Brazil
61,FertlD,Female,Other,USA
62,PintoR,Male,Government,Brazil
63,GurjãoL,Male,University,Brazil
64,GarcíaGodosI,Male,NGO,Perú
65,KinasP,Male,University,Brazil
66,BravoE,Male,University,México
67,OliveiraL,Female,University,Brazil
68,GrochK,Female,University,Brazil
69,AcevedoGutiérrezA,Male,University,USA
70,FélixF,Male,NGO,Ecuador
71,LimaD,Female,University,Brazil
72,SantosM,Male,University,Brazil
73,CabreraE,Female,NGO,Chile
74,ClarkeR,Male,Other,Perú
75,GrandiM,Female,Government,Argentina
76,LaportaP,Female,University,Uruguay
77,CappozzoH,Male,Government,Argentina
78,SouzaSP,Female,NGO,Brazil
79,MaiaNogueiraR,Male,NGO,Brazil
80,MolinaSchillerD,Female,University,Brazil
81,CostaP,Female,University,Uruguay
82,SuarezA,Female,Government,Argentina
83,LabradaMartagónV,Female,University,México
84,MottaM,Female,NGO,Brazil
85,UtrerasB,Male,NGO,Ecuador
86,AlavaJ,Male,NGO,Ecuador
87,ClarkeR,Male,Other,Perú
88,RossiSantosM,Male,NGO,Brazil
89,SzterenD,Female,University,Uruguay
90,VanWaerebeekK,Male,NGO,Perú
91,VanBressemM,Female,NGO,Perú
92,TrimbleM,Female,University,Uruguay
93,RosasF,Male,Government,Brazil
94,MuelbertM,Female,University,Brazil
95,SonninoSorisioL,Male,Other,Italy
96,IriarteV,Female,University,Uruguay
97,PérezCortésM,Male,Government,México
98,WedekinL,Male,University,Brazil
99,FloresP,Male,Government,Brazil
100,FaustinoC,Female,University,Portugal
101,FloresP,Male,Government,Brazil
102,BottaS,Female,University,Brazil
103,BermúdezVillapolL,Male,NGO,Venezuela
104,RubioCisnerosN,Female,Government,México
105,PardoM,Male,University,México
106,MonteiroM,Female,University,Brazil
107,OliveiraL,Female,University,Brazil
108,VanBressemM,Female,NGO,Perú
109,VanWaerebeekK,Male,NGO,Perú
110,SantosM,Male,University,Brazil
111,UrbánRamírezJ,Male,University,México
112,YatesO,Male,Other,Chile
113,ForestellP,Male,NGO,USA
114,MouraJ,Male,Government,Brazil
115,SerranoA,Male,University,México
116,AltieriB,Female,NGO,Brazil
117,SantosM,Male,University,Brazil
118,CappozzoH,Male,Government,Argentina
119,SanfeliceD,Female,University,Brazil
120,OliveiraG,Male,University,Brazil
121,MattosP,Male,University,Brazil
122,GarcíaGodosI,Male,NGO,Perú
123,BaldassinP,Female,Other,Brazil
124,FernandesM,Female,Other,Brazil
125,FélixF,Male,NGO,Ecuador
126,SepúlvedaM,Female,NGO,Chile
127,GómezA,Male,University,USA
128,PalaciosD,Male,University,USA
129,FrancoTrecuV,Female,University,Uruguay
130,SalvadeoC,Male,University,México
131,PachecoA,Male,University,Chile
132,CastelblancoMartínezD,Female,Government,México
133,CarvalhoV,Male,University,Brazil
134,JeffersonT,Male,Government,USA
135,PardoM,Male,University,México
136,PardoM,Male,University,México
137,FraijaN,Female,University,Spain
138,BolañosJiménezJ,Male,NGO,Venezuela
139,AlavaJ,Male,NGO,Ecuador
140,DíazAguirreF,Male,University,Chile
141,MelloD,Female,Government,Brazil
142,FloresP,Male,Government,Brazil
143,SantosM,Male,University,Brazil
144,DaneriG,Male,Government,Argentina
145,PalaciosAlfaroJ,Male,NGO,CostaRica
146,SoutoL,Male,NGO,Brazil
147,SantosM,Male,University,Brazil
148,SoléCavaA,Male,University,Brazil
149,daSilvaV,Female,Government,Brazil
150,SantosM,Male,University,Brazil
151,CrespoE,Male,Government,Argentina
152,RosasF,Male,Government,Brazil
153,CaballeroS,Female,University,Colombia
154,CaballeroS,Female,University,Colombia
155,MeirellesA,Female,NGO,Brazil
156,McGuireT,Female,University,USA
157,RossiSantosM,Male,NGO,Brazil
158,HardtF,Male,University,Brazil
159,AlonsoM,Female,NGO,Brazil
160,MayColladoL,Female,University,PuertoRico
161,RamosR,Female,Other,Brazil
162,LaetaM,Female,Government,Brazil
163,EminLimaN,Female,Government,Brazil
164,GómezSalazarC,Female,NGO,Colombia
165,FloresP,Male,Government,Brazil
166,CunhaH,Female,University,Brazil
167,SantosM,Male,University,Brazil
168,BorobiaM,Female,Other,Brazil
