ID,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,Author21,Author22,Author23,Author24
1,SecchiE,SicilianoS,,,,,,,,,,,,,,,,,,,,,,
2,SecchiE,,,,,,,,,,,,,,,,,,,,,,,
3,SecchiE,OttP,DanilewiczD,,,,,,,,,,,,,,,,,,,,,
4,BordinoP,SicilianoS,BastidaR,CremerM,,,,,,,,,,,,,,,,,,,,
5,DanilewiczD,RosasF,BastidaR,MarigoJ,MuelbertM,RodríguezD,LailsonBritoJ,RuoppoloV,RamosR,BassoiM,OttP,CaonG,RochaA,CatãoDiasJ,SecchiE,,,,,,,,,
6,KinasP,SecchiE,RamosR,DanilewiczD,CrespoE,,,,,,,,,,,,,,,,,,,
7,SecchiE,DanilewiczD,OttP,RamosR,LázaroM,MarigoJ,WangJ,,,,,,,,,,,,,,,,,
8,OttP,SecchiE,MorenoI,DanilewiczD,CrespoE,BordinoP,RamosR,DiBenedittoA,BertozziC,BastidaR,ZanelattoR,PerezJ,KinasP,,,,,,,,,,,
9,CrespoE,SecchiE,DallaRosaL,KinasP,DanilewiczD,BordinoP,,,,,,,,,,,,,,,,,,
10,AriasA,RochaJ,WeiskelH,FidelixL,DeHaroC,CremerM,LázaroM,SicilianoS,,,,,,,,,,,,,,,,
11,BordinoP,,,,,,,,,,,,,,,,,,,,,,,
12,RodríguezD,RiveroL,BastidaR,,,,,,,,,,,,,,,,,,,,,
13,GerpeM,RodríguezD,MorenoV,BastidaR,MorenoJ,,,,,,,,,,,,,,,,,,,
14,LailsonBritoJ,AzeredoM,MalmO,RamosR,DiBenedittoA,SaldanhaM,,,,,,,,,,,,,,,,,,
15,MarigoJ,RosasF,AndradeA,OliveiraM,DiasR,CatãoDiasJ,,,,,,,,,,,,,,,,,,
16,RodríguezD,BastidaR,OlssonP,,,,,,,,,,,,,,,,,,,,,
17,RamosR,DiBenedittoA,SicilianoS,SantosM,ZerbiniA,BertozziC,VicenteA,ZampirolliE,AlvarengaF,LimaN,,,,,,,,,,,,,,
18,HigaA,HingstZaherE,VivoM,,,,,,,,,,,,,,,,,,,,,
19,BertozziC,ZerbiniA,,,,,,,,,,,,,,,,,,,,,,
20,RosasF,MonteiroFilhoE,OliveiraM,,,,,,,,,,,,,,,,,,,,,
21,SantosM,VicenteA,ZampirolliE,AlvarengaF,SouzaSP,,,,,,,,,,,,,,,,,,,
22,WeiskelH,BordinoP,AriasA,,,,,,,,,,,,,,,,,,,,,
23,SecchiE,WangJ,,,,,,,,,,,,,,,,,,,,,,
24,AzevedoA,FragosoA,LailsonBritoJ,CunhaH,,,,,,,,,,,,,,,,,,,,
25,MignucciGiannoniA,MontoyaOspinaR,VelascoEscuderoM,,,,,,,,,,,,,,,,,,,,,
26,LeBasA,,,,,,,,,,,,,,,,,,,,,,,
27,MoreteM,PaceR,MartinsC,FreitasA,EngelM,,,,,,,,,,,,,,,,,,,
28,GarcíaC,DawsonS,,,,,,,,,,,,,,,,,,,,,,
29,MorenoI,DanilewiczD,BorgesMartinsM,OttP,CaonG,OliveiraL,,,,,,,,,,,,,,,,,,
30,HasselL,VenturottiA,MagalhãesF,CuencaS,SicilianoS,MarquesF,,,,,,,,,,,,,,,,,,
31,RodríguezD,BastidaR,MorónS,HerediaS,LoureiroJ,,,,,,,,,,,,,,,,,,,
32,MagalhãesF,HasselL,VenturottiA,SicilianoS,,,,,,,,,,,,,,,,,,,,
33,NettoR,BarbosaL,,,,,,,,,,,,,,,,,,,,,,
34,DanilewiczD,,,,,,,,,,,,,,,,,,,,,,,
35,DiBenedittoA,,,,,,,,,,,,,,,,,,,,,,,
36,IñíguezM,HeviaM,GasparrouC,TomsinA,SecchiE,,,,,,,,,,,,,,,,,,,
37,FaillaSiquierG,LeBasA,,,,,,,,,,,,,,,,,,,,,,
38,CrespiAbrilA,GarcíaN,CrespoE,CoscarellaM,,,,,,,,,,,,,,,,,,,,
39,SecchiE,BarcellosL,ZerbiniA,DallaRosaL,,,,,,,,,,,,,,,,,,,,
40,GurjãoL,FurtadoNetoM,SantosR,CasconP,,,,,,,,,,,,,,,,,,,,
41,DrehmerC,OliveiraL,,,,,,,,,,,,,,,,,,,,,,
42,RosasF,MattosG,,,,,,,,,,,,,,,,,,,,,,
43,MorenoI,MartinsC,AndrioloA,EngelM,,,,,,,,,,,,,,,,,,,,
