"","name","gender","instType","country","lead","degOut","degIn"
"1","AbudC",NA,NA,NA,"N",NA,1
"2","AcevedoGutiérrezA","Male","University","USA","Y",4,NA
"3","AdlerF",NA,NA,NA,"N",NA,1
"4","AlarcónD",NA,NA,NA,"N",NA,1
"5","AlavaJ","Male","NGO","Ecuador","Y",2,NA
"6","AlbaredaD",NA,NA,NA,"N",NA,1
"7","AlcortaB",NA,NA,NA,"N",NA,1
"8","AlfaroShiguetoJ",NA,NA,NA,"N",NA,1
"9","AliagaRosselE",NA,NA,NA,"N",NA,1
"10","AlieviM",NA,NA,NA,"N",NA,1
"11","AlonsoM","Female","NGO","Brazil","Y",5,1
"12","AltieriB","Female","NGO","Brazil","Y",2,NA
"13","AlvarengaF",NA,NA,NA,"N",NA,3
"14","AlvesM",NA,NA,NA,"N",NA,1
"15","AlvesT",NA,NA,NA,"N",NA,1
"16","AlvesV",NA,NA,NA,"N",NA,1
"17","AndradeA",NA,NA,NA,"N",NA,1
"18","AndrioloA",NA,NA,NA,"N",NA,1
"19","ApazaM",NA,NA,NA,"N",NA,1
"20","AraújoD",NA,NA,NA,"N",NA,1
"21","AriasA","Male","Government","Argentina","Y",7,1
"22","AriasSchreiberM",NA,NA,NA,"N",NA,1
"23","ArimM",NA,NA,NA,"N",NA,1
"24","AuriolesGamboaD","Male","University","México","Y",2,1
"25","AvilaI",NA,NA,NA,"N",NA,1
"26","AzeredoM",NA,NA,NA,"N",NA,1
"27","AzevedoA","Male","University","Brazil","Y",3,3
"28","BakerA",NA,NA,NA,"N",NA,1
"29","BakerC",NA,NA,NA,"N",NA,2
"30","BaldassinP","Female","Other","Brazil","Y",5,NA
"31","BarbosaC",NA,NA,NA,"N",NA,1
"32","BarbosaL",NA,NA,NA,"N",NA,2
"33","BarbosaT",NA,NA,NA,"N",NA,1
"34","BarcellosJ",NA,NA,NA,"N",NA,1
"35","BarcellosL",NA,NA,NA,"N",NA,1
"36","BarreraA",NA,NA,NA,"N",NA,1
"37","BarriosGarridoH",NA,NA,NA,"N",NA,3
"38","BarrosN",NA,NA,NA,"N",NA,1
"39","BassoiM",NA,NA,NA,"N",NA,1
"40","BastidaR",NA,NA,NA,"N",NA,7
"41","BazzaloM",NA,NA,NA,"N",NA,5
"42","BeltránPedrerosS",NA,NA,NA,"N",NA,3
"43","BennettM",NA,NA,NA,"N",NA,1
"44","BermúdezVillapolL","Male","NGO","Venezuela","Y",5,NA
"45","BertozziC","Female","University","Brazil","Y",1,3
"46","BevilaquaC",NA,NA,NA,"N",NA,1
"47","BlackA",NA,NA,NA,"N",NA,1
"48","BolañosJiménezJ","Male","NGO","Venezuela","Y",2,3
"49","BonvicinoC",NA,NA,NA,"N",NA,1
"50","BordinoP","Male","NGO","Argentina","Y",3,3
"51","BorgesMartinsM",NA,NA,NA,"N",NA,1
"52","BorobiaM","Female","Other","Brazil","Y",4,2
"53","BoteroN",NA,NA,NA,"N",NA,1
"54","BottaS","Female","University","Brazil","Y",2,NA
"55","BravoE","Male","University","México","Y",3,NA
