"","name","gender","instType","country","lead","degOut","degIn","bet","eig","close","cores","res","degAll","vertID"
"AbudC","AbudC",NA,NA,NA,"N",NA,1,0,0,6.47525803903286e-06,1,0.276803592808417,1,1
"AcevedoGutiérrezA","AcevedoGutiérrezA","Male","University","USA","Y",4,NA,0,0,6.68011596681318e-06,1,0.276803592808451,4,2
"AdlerF","AdlerF",NA,NA,NA,"N",NA,1,0,0.00271634386705519,1.78450337271137e-05,1,0.249640154137866,1,3
"AlarcónD","AlarcónD",NA,NA,NA,"N",NA,1,0,0.051627899716061,1.79076680634648e-05,1,0.239475404352193,1,4
"AlavaJ","AlavaJ","Male","NGO","Ecuador","Y",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,5
"AlbaredaD","AlbaredaD",NA,NA,NA,"N",NA,1,0,0,6.54244739872291e-06,1,0.276803592808417,1,6
"AlcortaB","AlcortaB",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,7
"AlfaroShiguetoJ","AlfaroShiguetoJ",NA,NA,NA,"N",NA,1,0,0.00238970234677571,1.7812928623595e-05,1,0.25290656934066,1,8
"AliagaRosselE","AliagaRosselE",NA,NA,NA,"N",NA,1,0,0.00511077917810427,1.78396218000178e-05,1,0.225695801027375,1,9
"AlieviM","AlieviM",NA,NA,NA,"N",NA,1,0,0.00397443678303731,1.78332590280874e-05,1,0.237059224978044,1,10
"AlonsoM","AlonsoM","Female","NGO","Brazil","Y",5,1,142,0.16243432417812,1.7951709900368e-05,4,0.419911252029542,6,11
"AltieriB","AltieriB","Female","NGO","Brazil","Y",2,NA,0,0.00280891481358984,1.78507675830061e-05,1,0.248714444672519,2,12
"AlvarengaF","AlvarengaF",NA,NA,NA,"N",NA,3,0,0.221593745440895,1.79314302108736e-05,3,1.93913386160053,3,13
"AlvesM","AlvesM",NA,NA,NA,"N",NA,1,0,0,6.31293204128658e-06,1,0.276803592808417,1,14
"AlvesT","AlvesT",NA,NA,NA,"N",NA,1,0,2.3766905713373e-05,1.76916000283066e-05,1,0.276565923751284,1,15
"AlvesV","AlvesV",NA,NA,NA,"N",NA,1,0,0.00351248505497554,1.78256296903688e-05,1,0.241678742258662,1,16
"AndradeA","AndradeA",NA,NA,NA,"N",NA,1,0,0.0245415563516059,1.78667143112382e-05,1,0.0313880292923586,1,17
