Acronym1,InstType1,City1,State1,Country1
FURG,University,Rio Grande,RS,Brazil
FURG,University,Rio Grande,RS,Brazil
FURG,University,Rio Grande,RS,Brazil
CECIM,NGO,,,Argentina
GEMARS,NGO,Porto Alegre,RS,Brazil
FURG,University,Rio Grande,RS,Brazil
FURG,University,Rio Grande,RS,Brazil
GEMARS,NGO,Porto Alegre,RS,Brazil
CENPAT,Government,Puerto Madryn,,Argentina
SRNPA,Government,Buenos Aires,,Argentina
CECIM,NGO,Buenos Aires,,Argentina
UNMP,University,Mar del Plata,,Argentina
UNMP,University,Mar del Plata,,Argentina
UERJ,University,Rio de Janeiro,RJ,Brazil
CGR,NGO,Fernando de Noronha,PE,Brazil
UNMP,University,Mar del Plata,,Argentina
UENF,University,Campos dos Goytacazes,RJ,Brazil
USP,University,São Paulo,SP,Brazil
USP,University,São Paulo,SP,Brazil
INPA,Government,Manaus,AM,Brazil
USP,University,São Paulo,SP,Brazil
PEW,NGO,Arlington,VA,USA
FURG,University,Rio Grande,RS,Brazil
UERJ,University,Rio de Janeiro,RJ,Brazil
UMET,University,San Juan,,Puerto Rico
UDELAR,University,Montevideo,,Uruguay
IBJ,NGO,Caravelas,BA,Brazil
Other,Other,Bogotá,,Colombia
GEMARS,NGO,Porto Alegre,RS,Brazil
FIOCRUZ,Government,Rio de Janeiro,RJ,Brazil
UNMP,University,Mar del Plata,,Argentina
FIOCRUZ,Government,Rio de Janeiro,RJ,Brazil
ORCA,NGO,Vila Velha,ES,Brazil
GEMARS,NGO,Porto Alegre,RS,Brazil
UENF,University,Campos dos Goytacazes,RJ,Brazil
CETHUS,NGO,Olivos,,Argentina
UDELAR,University,Montevideo,,Uruguay
CENPAT,Government,Puerto Madryn,,Argentina
FURG,University,Rio Grande,RS,Brazil
UFC,University,Fortaleza,CE,Brazil
UFPEL,University,Pelotas,RS,Brazil
INPA,Government,Manaus,AM,Brazil
GEMARS,NGO,Porto Alegre,RS,Brazil
UFPEL,University,Pelotas,RS,Brazil
UFRGS,University,Porto Alegre,RS,Brazil
FEMM,NGO,Guayaquil,,Ecuador
PUCRS,University,Porto Alegre,RS,Brazil
Other,Other,Bogotá,,Colombia
UOTAGO,University,Dunedin,,New Zealand
Other,Other,Recife,PE,Brazil
CICIMAR,University,La Paz,BCS,México
AQUASIS,NGO,Caucaia,CE,Brazil
CEPEC,NGO,Pucusana,,Perú
WCS,NGO,Quito,,Ecuador
UFRGS,University,Porto Alegre,RS,Brazil
UFRGS,University,Porto Alegre,RS,Brazil
UDELAR,University,Montevideo,,Uruguay
OSU,University,Corvallis,OR,USA
AQUASIS,NGO,Caucaia,CE,Brazil
UFSC,University,Florianopolis,SC,Brazil
GEO-MARINE,Other,Plano,TX,USA
FIOCRUZ,Government,Rio de Janeiro,RJ,Brazil
UFC,University,Fortaleza,CE,Brazil
IMARPE,Government,Callao,,Perú
FURG,University,Rio Grande,RS,Brazil
UABC,University,Ensenada,BC,México
USP,University,São Paulo,SP,Brazil
UFRGS,University,Porto Alegre,RS,Brazil
WWU,University,Bellingham,WA,USA
FEMM,NGO,Guayaquil,,Ecuador
PUCMG,University,Belo Horizonte,MG,Brazil
UNESP,University,Campinas,SP,Brazil
CCC,NGO,Santiago,,Chile
Other,Other,Pisco,,Perú
CENPAT,Government,Puerto Madryn,,Argentina
UDELAR,University,Montevideo,,Uruguay
MACN,Government,Buenos Aires,,Argentina
ITM/SOS,NGO,São Sebastião,SP,Brazil
CRMA,NGO,Salvador,BA,Brazil
UFRGS,University,Porto Alegre,RS,Brazil
UDELAR,University,Montevideo,,Uruguay
MACN,Government,Buenos Aires,,Argentina
CICIMAR,University,La Paz,BCS,México
AQUASIS,NGO,Caucaia,CE,Brazil
WCS,NGO,Quito,,Ecuador
NATURA,NGO,Guayaquil,,Ecuador
Other,Other,Pisco,,Perú
IBJ,NGO,Caravelas,BA,Brazil
UDELAR,University,Montevideo,,Uruguay
CEPEC,NGO,Pucusana,,Perú
CEPEC,NGO,Pucusana,,Perú
UDELAR,University,Montevideo,,Uruguay
INPA,Government,Manaus,AM,Brazil
FURG,University,Rio Grande,RS,Brazil
Other,Other,Rome,,Italy
UDELAR,University,Montevideo,,Uruguay
SEMARNAT,Government,La Paz,BCS,México
UFSC,University,Florianopolis,SC,Brazil
IPCG,NGO,Florianópolis,SC,Brazil
UALG,University,Faro,,Portugal
PUCRS,University,Porto Alegre,RS,Brazil
FURG,University,Rio Grande,RS,Brazil
CIC,NGO,Isla de Margarita,,Venezuela
CIBNOR,Government,La Paz,BCS,México
UJTL,University,Santa Marta,,Colombia
UFPE,University,Recife,PE,Brazil
GEMARS,NGO,Porto Alegre,RS,Brazil
CEPEC,NGO,Pucusana,,Perú
CEPEC,NGO,Pucusana,,Perú
UNESP,University,Rio Claro,SP,Brazil
UABCS,University,La Paz,BCS,México
Other,Other,La Serena,,Chile
PWF,NGO,Wailuku,HI,USA
FIOCRUZ,Government,Rio de Janeiro,RJ,Brazil
UVER,University,Tuxpan,Ver,México
AQUASIS,NGO,Caucaia,CE,Brazil
UNESP,University,Rio Claro,SP,Brazil
MACN,Government,Buenos Aires,,Argentina
UFRGS,University,Porto Alegre,RS,Brazil
UFAMI,University,Manaus,AM,Brazil
FURG,University,Rio Grande,RS,Brazil
CEPEC,NGO,Lima,,Perú
AQUB,Other,Ubatuba,SP,Brazil
ETS,Other,Vitoria,ES,Brazil
FEMM,NGO,Guayaquil,,Ecuador
EUTROPIA,NGO,Viña del Mar,,Chile
COLU,University,New York,NY,USA
UH,University,Honolulu,HI,USA
UDELAR,University,Montevideo,,Uruguay
UABCS,University,La Paz,BCS,México
UA,University,Antofagasta,,Chile
ECOSUR,Government,Chetumal,,México
UECE,University,Fortaleza,CE,Brazil
NOAA,Government,La Jolla,CA,USA
CICESE,University,La Paz,BCS,México
CICIMAR,University,La Paz,BCS,México
UVAL,University,Valencia,,Spain
SeaVida,NGO,Cagua,,Venezuela
SFU,University,Burnaby,BC,Canada
UAB,University,Santiago,,Chile
INPA,Government,Manaus,AM,Brazil
ICMBio,Government,Florianopolis,SC,Brazil
UNESP,University,Rio Claro,SP,Brazil
MACN,Government,Buenos Aires,,Argentina
KETO,NGO,San José,,Costa Rica
IMA,NGO,Salvador,BA,Brazil
USP,University,São Paulo,SP,Brazil
UFRJ,University,Rio de Janeiro,RJ,Brazil
INPA,Government,Manaus,AM,Brazil
USP,University,São Paulo,SP,Brazil
